time,cell_id,generation,type,effect_size,mutation_string
33,0,0,down,0.0,Plk1_rate_down_0
33,0,0,down,0.0,Plk1_rate_down_0
33,2,1,down,0.0,Plk1_rate_down_0
33,2,1,down,0.0,Plk1_rate_down_0
33,2,1,down,0.0,Plk1_rate_down_0
33,3,1,down,0.0,Plk1_rate_down_0
33,3,1,down,0.0,Plk1_rate_down_0
33,3,1,down,0.0,Plk1_rate_down_0
33,4,2,down,0.0,Plk1_rate_down_0
33,4,2,down,0.0,Plk1_rate_down_0
33,4,2,down,0.0,Plk1_rate_down_0
33,5,2,down,0.0,Plk1_rate_down_0
33,5,2,down,0.0,Plk1_rate_down_0
33,5,2,down,0.0,Plk1_rate_down_0
33,6,1,down,0.0,Plk1_rate_down_0
33,6,1,down,0.0,Plk1_rate_down_0
33,7,2,down,0.0,Plk1_rate_down_0
33,7,2,down,0.0,Plk1_rate_down_0
33,8,2,down,0.0,Plk1_rate_down_0
33,8,2,down,0.0,Plk1_rate_down_0
33,9,1,down,0.0,Plk1_rate_down_0
33,9,1,down,0.0,Plk1_rate_down_0
33,10,2,down,0.0,Plk1_rate_down_0
33,10,2,down,0.0,Plk1_rate_down_0
33,10,2,down,0.0,Plk1_rate_down_0
33,11,3,down,0.0,Plk1_rate_down_0
33,11,3,down,0.0,Plk1_rate_down_0
33,11,3,down,0.0,Plk1_rate_down_0
33,12,3,down,0.0,Plk1_rate_down_0
33,12,3,down,0.0,Plk1_rate_down_0
33,12,3,down,0.0,Plk1_rate_down_0
33,13,2,down,0.0,Plk1_rate_down_0
33,13,2,down,0.0,Plk1_rate_down_0
33,13,2,down,0.0,Plk1_rate_down_0
33,14,1,down,0.0,Plk1_rate_down_0
33,14,1,down,0.0,Plk1_rate_down_0
33,14,1,down,0.0,Plk1_rate_down_0
33,14,1,down,0.0,Plk1_rate_down_0
33,15,2,down,0.0,Plk1_rate_down_0
33,15,2,down,0.0,Plk1_rate_down_0
33,16,2,down,0.0,Plk1_rate_down_0
33,16,2,down,0.0,Plk1_rate_down_0
33,16,2,down,0.0,Plk1_rate_down_0
33,16,2,down,0.0,Plk1_rate_down_0
34,0,0,down,0.0,Plk1_rate_down_0
34,0,0,down,0.0,Plk1_rate_down_0
34,0,0,down,0.0,Plk1_rate_down_0
34,2,1,down,0.0,Plk1_rate_down_0
34,2,1,down,0.0,Plk1_rate_down_0
34,2,1,down,0.0,Plk1_rate_down_0
